title,date,content,verified_product,rating,product
waseem,Reviewed in India on 10 May 2022,"Badhiya Laptop h Iss Range m , Achi packaging krrke pohchaya h , koi damage ya scrath nhi h , 2year warranty aayi h Acha chl rha , Baki 1 month chalane k bad btaunga",Verified Purchase,5,Lenovo IdeaPad 3 11th Gen 
lokesh reddy,Reviewed in India on 27 January 2022,I bought with exchange of dell laptop and its a good product with reasonable price for me.,Verified Purchase,4,Lenovo IdeaPad 3 11th Gen 
Arashad Ansari,Reviewed in India on 5 May 2022, It's very good laptop in under 41k.,Verified Purchase,4,Lenovo IdeaPad 3 11th Gen 
Navneet,Reviewed in India on 16 April 2022,"Very good laptop in this price range.
I love it.",Verified Purchase,5,Lenovo IdeaPad 3 11th Gen 
Jaya Shankar,Reviewed in India on 12 May 2022,"The laptop supplied is without the pre-installed MS Office 2021, i.e. incomplete and the laptop needs to be replaced.",Verified Purchase,1,Lenovo IdeaPad 3 11th Gen 
Sandy,Reviewed in India on 11 February 2022,Screen quality can be more enhance,Verified Purchase,5,Lenovo IdeaPad 3 11th Gen 
Nagarjun U,Reviewed in India on 25 January 2022,"Nice product
Battery life avg - 4 hours",Verified Purchase,4,Lenovo IdeaPad 3 11th Gen 
Mahi,Reviewed in India on 12 May 2022,not as expected poor display and not satisfied with volume and performance slow,Verified Purchase,3,Lenovo IdeaPad 3 11th Gen 
Pappu singh,Reviewed in India on 16 April 2022,very good laptop,Verified Purchase,5,Lenovo IdeaPad 3 11th Gen 
sreekanth nagamboina,Reviewed in India on 11 January 2022,Good product with awesome quality 🌟,Verified Purchase,5,Lenovo IdeaPad 3 11th Gen 
Santosh,Reviewed in India on 19 January 2022,Battery life 4 Hours,Verified Purchase,2,Lenovo IdeaPad 3 11th Gen 
Lalit singh,Reviewed in India on 12 May 2022, Slim & smuth running,Verified Purchase,5,Lenovo IdeaPad 3 11th Gen 
shan,Reviewed in India on 12 May 2022,"Poor display quality
Audio output is low
Poor camera",Verified Purchase,1,Lenovo IdeaPad 3 11th Gen 
Ravi Kant,Reviewed in India on 3 February 2022,Display Quality very poor and performance is good,Verified Purchase,3,Lenovo IdeaPad 3 11th Gen 
Kalyani,Reviewed in India on 12 May 2022,,Verified Purchase,5,Lenovo IdeaPad 3 11th Gen 
R.K SINGH,Reviewed in India on 24 April 2022,Over all good,Verified Purchase,3,Lenovo IdeaPad 3 11th Gen 
Subhajit Goswami,Reviewed in India on 19 March 2022,Good Mid Range Laptop,Verified Purchase,5,Lenovo IdeaPad 3 11th Gen 
ankita punjabi,Reviewed in India on 28 April 2022,Disappointed,Verified Purchase,2,Lenovo IdeaPad 3 11th Gen 
Aniket Vishwakarma,Reviewed in India on 5 May 2022,,Verified Purchase,4,Lenovo IdeaPad 3 11th Gen 
Ankit,Reviewed in India on 1 February 2022,,Verified Purchase,5,Lenovo IdeaPad 3 11th Gen 
Mani,Reviewed in India on 11 February 2022,"Fantastic product with in this price range.

This is my first laptop so I have gone through many reviews and research since 3 months to get a product so that I would not regret for my first laptop. Yes I am completely satisfied with the product.

Highlights on pros.

1. Awesome display and elegant body.
2. Backlit with in this price is awesome.
3. SSD that too 512 SSD with in this range is mesmerizing.
4. 8GB Ram and 512 GB ROM in SSD, trust me one of the option made me to choose this.
5. 65W charger with fast charging speed. Laptop is getting charged within 80 minutes.
6. No heating issues I have found yet after using 6 days.
7. Decent enough camera with shutter(attractive feature).

Cons.

None I have found yet",,5,Lenovo IdeaPad 3 11th Gen 
ViR,Reviewed in India on 8 May 2022,"Absolutely low quality of material.happens within 1 year of purchase.not covered in warranty. Not reliable, not trust worthy. I am using it as desktop with external monitor now as flap and screen is not usable",,1,Lenovo IdeaPad 3 11th Gen 
Adithi P.,Reviewed in India on 11 May 2022,"Nice laptop and awesome.
I would recommended this to buy
Privacy shutter is nice and cool and safe.
Overall a good laptop.....",,5,Lenovo IdeaPad 3 11th Gen 
