title,date,content,verified_product,rating,product
Yogesh Sure,Reviewed in India on 12 January 2022,"Quality not satisfactory, slow performance , not satisfactory compare price",Verified Purchase,2,Vivo_Y33
karthik,Reviewed in India on 10 November 2021,Ok,Verified Purchase,4,Vivo_Y33
Raju,Reviewed in India on 1 November 2021,Worst mobile don’t buy it it is ver slow and in 10 days mobile is not working and returning policy is closed don’t waste ure money,Verified Purchase,1,Vivo_Y33
V.R.Nagarajan,Reviewed in India on 1 December 2021,"Not so good, but not so bad. This is an average model phone.",Verified Purchase,3,Vivo_Y33
Dongaonkar G.,Reviewed in India on 6 December 2021, Updates are not available like how much data consume by you,Verified Purchase,3,Vivo_Y33
Hemant,Reviewed in India on 17 October 2021,Very happy with the phone. No complaints. Excellent performance,Verified Purchase,5,Vivo_Y33
Sonali S.,Reviewed in India on 28 September 2021,Very nice mobile,Verified Purchase,5,Vivo_Y33
BHAVDIP VAGHASIYA,Reviewed in India on 3 December 2021,Good phone,Verified Purchase,5,Vivo_Y33
Jaya,Reviewed in India on 5 April 2022,Sach a nice phone thank u Amazon for giving me great deal.,Verified Purchase,5,Vivo_Y33
rahul,Reviewed in India on 13 November 2021,Nice,Verified Purchase,4,Vivo_Y33
Gopalakrisnan,Reviewed in India on 25 December 2021,Nice product looks stylish and camera 📷 is nice and battery 🔋 Back up excellent,Verified Purchase,5,Vivo_Y33
Amazon Customer,Reviewed in India on 23 March 2022,Good working and nice mobile,Verified Purchase,5,Vivo_Y33
Harveer singh,Reviewed in India on 3 January 2022,Good,Verified Purchase,4,Vivo_Y33
Veerababu,Reviewed in India on 6 February 2022,,Verified Purchase,1,Vivo_Y33
Shubham Rathore,Reviewed in India on 9 November 2021,Like it,Verified Purchase,4,Vivo_Y33
Gajendra,Reviewed in India on 11 January 2022,battery life is good,Verified Purchase,5,Vivo_Y33
Satyendra Singh,Reviewed in India on 6 February 2022,Good phone but screen not as think,Verified Purchase,4,Vivo_Y33
Vinodkumar,Reviewed in India on 16 March 2022,Good,Verified Purchase,4,Vivo_Y33
Naren naresh,Reviewed in India on 3 January 2022,Worst of buying... Not as much expected,Verified Purchase,1,Vivo_Y33
Amazon Customer,Reviewed in India on 2 May 2022,Camrea is terrible,Verified Purchase,3,Vivo_Y33
Girish Dange,Reviewed in India on 14 February 2022,,Verified Purchase,4,Vivo_Y33
Mehul,Reviewed in India on 19 November 2021,Camera is very low,Verified Purchase,5,Vivo_Y33
Neeraj e,Reviewed in India on 20 January 2022,All is good👍,Verified Purchase,5,Vivo_Y33
Tupakula N.,Reviewed in India on 21 February 2022,Display quality very poor,Verified Purchase,3,Vivo_Y33
AMOD KUMAR SHARMA,Reviewed in India on 10 March 2022,Bahut hi khrab set hai,Verified Purchase,1,Vivo_Y33
LALIT UPADHYAY,Reviewed in India on 28 December 2021,Battery charging very slow,Verified Purchase,3,Vivo_Y33
Vijayan,Reviewed in India on 25 November 2021,I month after display block,Verified Purchase,1,Vivo_Y33
Ajit Deshpande,Reviewed in India on 6 December 2021,Good 👍,Verified Purchase,5,Vivo_Y33
Vineeta Tomar,Reviewed in India on 13 September 2021,I like this phone. It's Fabulous,Verified Purchase,4,Vivo_Y33
Aman sharma,Reviewed in India on 27 November 2021,Battery life very poor,Verified Purchase,2,Vivo_Y33
Appala Raju,Reviewed in India on 5 December 2021,Bad camara quality.,Verified Purchase,4,Vivo_Y33
shivam shukla,Reviewed in India on 28 January 2022,Ok,Verified Purchase,3,Vivo_Y33
Bharat Lakhtariya,Reviewed in India on 9 January 2022,Mind blowing,Verified Purchase,5,Vivo_Y33
avi,Reviewed in India on 5 December 2021,Value for money.,Verified Purchase,4,Vivo_Y33
joseph.r,Reviewed in India on 28 September 2021,Valu for money,Verified Purchase,3,Vivo_Y33
Arif husssain,Reviewed in India on 20 November 2021,Waste of money,Verified Purchase,1,Vivo_Y33
Javed hussain,Reviewed in India on 20 January 2022,Good,Verified Purchase,5,Vivo_Y33
Akash Pandey,Reviewed in India on 10 September 2021,"Play Video
 Charging is faster than any other phones, Light wait which make it more genuine products, Battery backup is not so good but it's good if you see a light wait phone then battery shortage is a normal thing.",,4,Vivo_Y33
Sumit,Reviewed in India on 14 September 2021,Ghatiya phone hai mere phn ko 1 week hua hai muje sale karna hai koi hai lene wala mai usko de dunga ....15 me ...muje maza ni aaya,,1,Vivo_Y33
Amazon Customer,Reviewed in India on 10 October 2021,"Worst phone ever I used . After purchasing of phone in 3days started hanging,while playing games in 2mins mobile getting heat ,while calling or recieving calls mobile hanging,this is the failure phone ,waste of money really I have good opinion on vivo after using this ph I dnt want to buy vivo phones. I lost my money and getting frustation to use this mobile.

Waste of money....",,1,Vivo_Y33
Kanhaiya,Reviewed in India on 16 September 2021,"Very good mobile
Vivo y 33s
Very nice quality Selfie and back camera
Good luking mobile I am fully stifided",,5,Vivo_Y33
Aditya Singh,Reviewed in India on 14 January 2022,"Amazing phone, excellent! Runs with no lag at all. Features are all amazing! I personally love it! Battery, processor, camera, specs all are tuned to make it amazing!",,5,Vivo_Y33
HEMANT B.,Reviewed in India on 7 September 2021,"Camera quality is decent
Light weight
50 MP camera is superb
8+4 GB Ram makes faster
128 GB Rom is enough
Helio G80 gaming processor",,5,Vivo_Y33
Gopal prajapat,Reviewed in India on 13 October 2021,"Vivo y33s handset auto call recording not supported.
Worst handset vivo y33s. Loss our money. Pls don't buy any vivo handset.
Buy other mobile realme, redme or another mobile.",,1,Vivo_Y33
Anurag sing,Reviewed in India on 8 November 2021,Worst camera quality in 19k phone.vivo y 33s camera is not good dont by this phone this phone looks nice only.,,1,Vivo_Y33
Jitu,Reviewed in India on 3 February 2022,Battery life is very good ..n weight is very handy..! Superb phone awesome n Grt ..go n buy it !,,4,Vivo_Y33
Anjali,Reviewed in India on 21 November 2021,This phone should also have 5G in this price range. And the phone hangs so much that it takes me 5 minutes to open the contact list,,1,Vivo_Y33
S D Kaushik,Reviewed in India on 28 October 2021,Like the looks but screen is not super amoled and getting really slow and getting hanged with a month usage.xiaomi is a better option,,2,Vivo_Y33
JB Singh Rajawat,Reviewed in India on 13 October 2021,"Best performance I like best features
Battary +camra looking very beautiful best phone 20 k in other best phone vivo y33s",,5,Vivo_Y33
Dia Alphonso,Reviewed in India on 22 October 2021,Phone a lil heavy Coz it glass ..it's gonna mirror at the back I mean mirrored glass so can do makeup on the go jokes apart fabulous screen resolution amazing camera quality at par excellence at affordable price of 19k got it on zest money app for 6 months interest free emi gets yours one today ..happy shopping ..thank you Amazon prime for deliverying same evening at no cost which really helped before my weekend plans kicked in,Verified Purchase,5,Vivo_Y33
Vinit,Reviewed in India on 10 November 2021,Very lightweight and best you could get in this price range. The build quality might seem cheap due to its lightweight nature.,Verified Purchase,4,Vivo_Y33
GIRISH WAGLE,Reviewed in India on 6 November 2021,"My earlier mobile was also Vuvo 1718 & so have upgraded it now with this. As expected, works absolutely fine.",Verified Purchase,5,Vivo_Y33
Mohammed Imran Kazi,Reviewed in India on 26 October 2021,Really happy with the purchase. The phone is worth the price. Excellent looks and premium finish.,Verified Purchase,5,Vivo_Y33
Rajan sharma,Reviewed in India on 16 November 2021,Good,Verified Purchase,5,Vivo_Y33
Rajkumar V,Reviewed in India on 1 November 2021,"Very good product. Value for money. Only setback notification led light not available. Charging is slow with 18w charger, need to improve",Verified Purchase,4,Vivo_Y33
vivek dogra,Reviewed in India on 4 October 2021,Quality of phone is ok,Verified Purchase,5,Vivo_Y33
piyush,Reviewed in India on 1 December 2021,Good,Verified Purchase,5,Vivo_Y33
K ABRAHAM MATHEW,Reviewed in India on 24 October 2021,Simple to use. All the features are included in the model which an average user requires,Verified Purchase,5,Vivo_Y33
Rajesh,Reviewed in India on 13 January 2022,Good model with good battery backup and good camera,Verified Purchase,5,Vivo_Y33
Ch v gowripathi,Reviewed in India on 20 October 2021,,Verified Purchase,5,Vivo_Y33
mrityunjoy,Reviewed in India on 10 October 2021,"Excellent battery back up, photo quality is so nice. Light weight",Verified Purchase,5,Vivo_Y33
Dhanasekaran Gopal,Reviewed in India on 21 October 2021,"Good product
Good delivary
Thanks vivo
Thanks amazon",Verified Purchase,4,Vivo_Y33
P K Jha,Reviewed in India on 30 October 2021,"Good phone, light weight, slim body. Smooth functioning.",Verified Purchase,5,Vivo_Y33
Lalit Pal Singh,Reviewed in India on 13 November 2021,Awesome mobile with this range,Verified Purchase,5,Vivo_Y33
balan Krishnan,Reviewed in India on 28 September 2021,போன எங்களுக்கு ரொம்ப பிடித்துள்ளது,Verified Purchase,5,Vivo_Y33
Gajendra Behera,Reviewed in India on 18 November 2021,Good,Verified Purchase,5,Vivo_Y33
maria,Reviewed in India on 6 November 2021,Nice,Verified Purchase,5,Vivo_Y33
Pallavi,Reviewed in India on 19 November 2021,Worth of money,Verified Purchase,5,Vivo_Y33
Krishan Ravathi,Reviewed in India on 25 October 2021,Super phone good,Verified Purchase,5,Vivo_Y33
Rajesh Kumar,Reviewed in India on 26 September 2021,Nice Mobile,Verified Purchase,5,Vivo_Y33
Rahul,Reviewed in India on 2 October 2021,Very good product,Verified Purchase,4,Vivo_Y33
Amod Dubey,Reviewed in India on 27 October 2021,Very good,Verified Purchase,5,Vivo_Y33
shaik Irfan,Reviewed in India on 15 November 2021,This is like,Verified Purchase,4,Vivo_Y33
MOHD ATIF ANWAR,Reviewed in India on 15 October 2021,🙂🙂🙂,Verified Purchase,5,Vivo_Y33
Nagireddy Kanala,Reviewed in India on 27 October 2021,Good phone the recorder is not up to mark j have not used pringerprint the rate is within the amount,,4,Vivo_Y33
Huvanagouda patil,Reviewed in India on 17 January 2022,"Fingerprint reader is excellent and this feature is with power button, camera quality is also good. Vivo y33s is comes with 5000ma battery.",,5,Vivo_Y33
Tanvi Rajput,Reviewed in India on 11 March 2022,"I buy this mobile for mostly use selfie, now I see selfie quality no clear,very bad experience, front camera not good",,2,Vivo_Y33
