title,date,content,verified_product,rating,product
Sunil Patil,Reviewed in India on 19 March 2019,"Excellent product, exactly as per my requirements and as mentioned in specifications
I am using as office bag strong design & good looks
I bought it for UNR 899.0",Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
A Frustrated Costumer of Amazon,Reviewed in India on 24 April 2022,Pathetic Quality Product! The bag got torn on the first use itself and the replacement of the same arrived in even more worst condition. The replacement piece was arrived already torn and attached are the images ofbthe same.,Verified Purchase,1,Urban Tribe Accelerator 30L Laptop Backpack 
Ravi kumar,Reviewed in India on 28 November 2018,"I am happy about this bag. i have bought this bag 6 months back from Amazon. Its really good for office.
Highly recommended for others... i have given 5star rating.... i have no issue with this bag till date...",Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Sanjay Gundlavkar,Reviewed in India on 20 April 2021,"Purchased it in 23 march 2021
The zip is not working properly and got detached from its original place",Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Di$hant Bha$kar,Reviewed in India on 16 November 2021,Superb.,Verified Purchase,4,Urban Tribe Accelerator 30L Laptop Backpack 
jigneshkumar Makwana,Reviewed in India on 26 September 2020,Overall good product,Verified Purchase,4,Urban Tribe Accelerator 30L Laptop Backpack 
Rupesh Ichale.,Reviewed in India on 8 June 2019,I m using this bag almost daily for office and weekend outings also.. its is worth paying for this product..,Verified Purchase,4,Urban Tribe Accelerator 30L Laptop Backpack 
TAHER,Reviewed in India on 2 December 2021,"Stitch quality is ver poor. Disappointed as urban tribe being a promising brand.
As the bag was a gift cnnot request for a return also.",Verified Purchase,1,Urban Tribe Accelerator 30L Laptop Backpack 
RAKESH KUMAWAT,Reviewed in India on 12 October 2019,Low quality,Verified Purchase,1,Urban Tribe Accelerator 30L Laptop Backpack 
Amit kumar jena,Reviewed in India on 1 March 2022,"To be honest, I do not feel like returning this bag at all, I liked it very much but I did not like its size at all so I am returning the bag",Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Yeshwant K Naik,Reviewed in India on 15 September 2020,Ok like price is higher side asper quality,Verified Purchase,3,Urban Tribe Accelerator 30L Laptop Backpack 
C R Vishnu Mohan,Reviewed in India on 25 December 2021,Good material & finish. All my things in one bag now instead of 2 bags which I used to carry. Very satisfied.,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Harshdeep,Reviewed in India on 18 February 2022,"I purchased it for extra pockets and color, but if u or ur child carry it....u will develop neck pain",Verified Purchase,1,Urban Tribe Accelerator 30L Laptop Backpack 
Sandeep Joseph,Reviewed in India on 12 January 2019,Great backpack for using while commuting on Motorcycles.,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
RAJ KUMAR THAKUR,Reviewed in India on 26 May 2018,This bag is very strong and beautiful.... It is little big so we can use it for traveling not for collage and schools,Verified Purchase,4,Urban Tribe Accelerator 30L Laptop Backpack 
Kindle Customer,Reviewed in India on 4 January 2022,Good,Verified Purchase,4,Urban Tribe Accelerator 30L Laptop Backpack 
Ashish D,Reviewed in India on 18 April 2018,Bad Quality. Not able to handle weight for 2.1KG Laptop & Tiffin bag with 1 or 2 books.,Verified Purchase,1,Urban Tribe Accelerator 30L Laptop Backpack 
Amazon Customer,Reviewed in India on 18 November 2020,"Very poor material quality. Within a month of purchase , its getting torn",Verified Purchase,2,Urban Tribe Accelerator 30L Laptop Backpack 
Basavaraj Gowda,Reviewed in India on 1 March 2020,"1 month back I purchased , quit ok good space good product,material quality should improve, other no issue.",Verified Purchase,4,Urban Tribe Accelerator 30L Laptop Backpack 
Mukesh Singh,Reviewed in India on 16 February 2021,"As per famailer.
not good or not bad",Verified Purchase,3,Urban Tribe Accelerator 30L Laptop Backpack 
Anish Nanavati,Reviewed in India on 6 August 2020,Nice product with good quality & value for money,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Amazon Customer,Reviewed in India on 15 June 2017,Bag looks great but leaks water. Great for summer use. But cannot be trusted in Monsoon.,Verified Purchase,1,Urban Tribe Accelerator 30L Laptop Backpack 
Surjith sadanandan,Reviewed in India on 11 September 2020,Good,Verified Purchase,4,Urban Tribe Accelerator 30L Laptop Backpack 
bhavitavya shrivastava,Reviewed in India on 1 March 2020,Ok,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Rahul Ranjan,Reviewed in India on 1 July 2021,Awesome product,Verified Purchase,4,Urban Tribe Accelerator 30L Laptop Backpack 
Rohit Rupani,Reviewed in India on 28 March 2022,,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Manas ranjan mohanty,Reviewed in India on 12 March 2022,Ok .not good or bad,Verified Purchase,3,Urban Tribe Accelerator 30L Laptop Backpack 
Tanumoy Saha,Reviewed in India on 24 March 2022,,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Gaurang Shah,Reviewed in India on 24 February 2018,Not Use For Laptop........ Other Perseus use very nice .....,Verified Purchase,3,Urban Tribe Accelerator 30L Laptop Backpack 
benjaminlfk,Reviewed in India on 28 November 2020,No doubt...its nice..perfect..good...Urban tribe keep it up...,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Hemanth,Reviewed in India on 5 May 2022,Worst,Verified Purchase,2,Urban Tribe Accelerator 30L Laptop Backpack 
Deepak Jha,Reviewed in India on 29 April 2022,"Love this product, lots of space👍🏻",Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Shivam soni,Reviewed in India on 26 March 2022,,Verified Purchase,1,Urban Tribe Accelerator 30L Laptop Backpack 
Jagadeesh Srinivas,Reviewed in India on 7 January 2022,Good material & product😊,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
SHRUTI T,Reviewed in India on 30 January 2018,"Good quality, smartly made compartments, excellent for bickers and one day travellers",Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Narayana swamy,Reviewed in India on 10 July 2021,Lovely bag,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Ganesh Wagh,Reviewed in India on 10 August 2021,Value for money,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Sampurna nand Awasthi,Reviewed in India on 19 February 2022,Fabric is good,Verified Purchase,3,Urban Tribe Accelerator 30L Laptop Backpack 
PRAKASH VEER TYAGI,Reviewed in India on 18 August 2019,Good bag for 2-3 days outing,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Ankit,Reviewed in India on 24 April 2021,Nice,Verified Purchase,4,Urban Tribe Accelerator 30L Laptop Backpack 
Sengmith sangma,Reviewed in India on 14 July 2021,Great guality,Verified Purchase,4,Urban Tribe Accelerator 30L Laptop Backpack 
RAISAHABGODARA,Reviewed in India on 13 June 2021,good,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Nishant Lakhera,Reviewed in India on 31 December 2021,,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Sachin yadav,Reviewed in India on 25 December 2021,Like,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Prabhat Kumar,Reviewed in India on 12 March 2017,just Not received what is shown in the picture.,Verified Purchase,3,Urban Tribe Accelerator 30L Laptop Backpack 
S A,Reviewed in India on 8 August 2017,Good,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Swapnil Karwal,Reviewed in India on 26 February 2019,Good quality material ..,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Pappu Pal,Reviewed in India on 14 August 2021,,Verified Purchase,3,Urban Tribe Accelerator 30L Laptop Backpack 
Manish vyas,Reviewed in India on 29 July 2019,Nice product,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Amazon Customer,Reviewed in India on 4 December 2018,Good,Verified Purchase,4,Urban Tribe Accelerator 30L Laptop Backpack 
Rikhpal Singh,Reviewed in India on 21 February 2021,Very bad,Verified Purchase,1,Urban Tribe Accelerator 30L Laptop Backpack 
swapnali,Reviewed in India on 19 October 2018,Nice bag,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Amazon Customer,Reviewed in India on 9 November 2019,Good product,Verified Purchase,4,Urban Tribe Accelerator 30L Laptop Backpack 
Haseen ahmad,Reviewed in India on 5 August 2019,Shdhx,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Prince,Reviewed in India on 21 August 2019,Not satisfied all needs,Verified Purchase,3,Urban Tribe Accelerator 30L Laptop Backpack 
raveendran madakat,Reviewed in India on 30 November 2017,good product,Verified Purchase,4,Urban Tribe Accelerator 30L Laptop Backpack 
pushpender kumar,Reviewed in India on 9 January 2019,Go for it,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Amazon Customer,Reviewed in India on 29 August 2017,Best,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
Rakesh Misra,Reviewed in India on 5 May 2017,"This is a neat, formal and durable laptop bag. Worth the cost. I am satisfied.",Verified Purchase,4,Urban Tribe Accelerator 30L Laptop Backpack 
Rahul Sharma,Reviewed in India on 6 September 2017,"Bag quality is good but you can't say it is excellent
Looks slightly overpriced. Also it does not have leather support downwards as shown in the picture.
Seller should show actual pictures.
Let's hope it goes atleast 1 year",Verified Purchase,4,Urban Tribe Accelerator 30L Laptop Backpack 
Vinod P,Reviewed in India on 28 May 2017,"Material was Good but it's different from Pictures on Amazon.
At bottom there is a No plastic pad as a
support to protect the bag along with laptop n office file!
Quite expensive compare to other brand like Skybag , safari.
Price versis value it's expensive :(",Verified Purchase,2,Urban Tribe Accelerator 30L Laptop Backpack 
Vitthal r.,Reviewed in India on 25 January 2018,Good look,,5,Urban Tribe Accelerator 30L Laptop Backpack 
S.Durgaprasad,Reviewed in India on 16 November 2021,,Verified Purchase,5,Urban Tribe Accelerator 30L Laptop Backpack 
